;number_row;MinTemp;MaxTemp;Rainfall;Evaporation;Sunshine;WindGustSpeed;Humidity9am;Humidity3pm;Pressure9am;Pressure3pm;RainToday;year;month;day;week;E;ENE;ESE;N;NE;NNE;NNW;NW;S;SE;SSE;SSW;SW;W;WNW;WSW;Location_Albury;Location_BadgerysCreek;Location_Canberra;Location_Cobar;Location_CoffsHarbour;Location_Moree;Location_MountGinini;Location_Newcastle;Location_NorahHead;Location_NorfolkIsland;Location_Penrith;Location_Sydney;Location_SydneyAirport;Location_Tuggeranong;Location_WaggaWagga;Location_Williamtown;Location_Wollongong;Region_New South Wales;Radar_Brisbane;Radar_Hobart;Radar_SydneyAirport;Radar_isole;RainTomorrow
16;32951;-0.8561090852554833;0.16929161733414627;-0.28777013770805054;0.05510273825730105;1.11370228050599;0.06417740700699172;1.0175482194531296;-1.0153614769051806;-0.6086946679116771;-0.40681358065674206;0;2011;3;4;9;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0
17;11589;1.051616941467883;0.5972020923431199;1.3328755570182158;0.38393089345213816;0.8246333874577632;-0.8431457000347317;0.7906309107887832;0.13750945357233987;-0.09640705714070323;-0.12581876051693897;1;2017;1;7;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0
18;29865;1.6099757785576485;1.4972896432240648;-0.28777013770805054;1.3704153590366495;-1.2514068444340478;1.180882769519882;0.5069842749583503;-0.10267199027714356;-1.0917087009243196;-1.175852035776219;0;2010;12;9;49;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0
19;23464;-1.6316074701023802;-1.4095504801127576;-0.26644585225112594;-0.6573582646648458;-0.22652622362669805;-2.0296451477046773;1.528112163947909;0.42572718619171995;0.29878624259689524;0.2291220649228132;0;2009;7;6;28;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0
20;37564;1.3152863923158278;0.15453608371314695;-0.28777013770805054;0.2743215083871926;-1.3565228055424938;-0.35458710393534215;0.67717225645661;1.2423440952799636;0.020687253892655584;0.09601925538290824;0;2009;3;13;11;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0
21;44367;-0.26673031277184167;-0.9963955387247828;0.010769858688893262;-0.8217723422622644;-1.9346605916389474;-1.6108806367623436;1.357924182449649;2.2030698706778975;0.6500691756969883;0.5101168850626163;1;2011;11;25;47;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;1
22;15211;0.9275371998923794;1.1136457690780885;-0.28777013770805054;0.49354027851708393;-0.48931612639781336;1.739235450776327;1.4146535096157358;-0.48696230043631705;-0.9307040232534388;-0.8652788135164297;0;2010;10;31;43;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0
23;41215;0.5552979751658689;-0.258618857674828;-0.15982442496650318;-1.3972216138532292;-0.4104791555664788;0.8319123437346038;0.7906309107887832;0.42572718619171995;-2.02846318919124;-1.8561552845357538;1;2011;3;23;12;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0
24;2006;-0.0030608619238968377;0.4939133569961264;-0.28777013770805054;0.16471212332224683;-0.9360589611087095;0.06417740700699172;0.0531496576296575;-0.9192888993653872;-0.7404257678242266;-0.5547055912566402;0;2014;11;5;45;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0
25;25643;0.22958865353017222;0.9808459664890968;-0.28777013770805054;0.5483449710495568;1.5078871346626628;-1.1223220406629542;-0.0035796695364290897;-1.0153614769051806;0.24023908708021582;0.4213816787026909;0;2015;12;30;53;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0
26;31101;-0.2357103773779659;-0.4504407947478159;0.309309855085837;-0.93138172732721;-0.8309430000002632;-0.6337634445635647;1.3011948552835626;-0.15070827904704026;0.8988945866428966;0.6727980967225076;1;2014;7;26;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0
27;48914;-0.08061070040858652;-0.19959672319083127;-0.28777013770805054;1.5896341291665406;0.9297493485662094;0.203765577321103;1.528112163947909;0.47376347496161664;-0.5501475123949977;-0.7173868029165315;0;2016;12;26;52;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0
28;36771;0.4467282012873034;0.9070682983841013;-0.26644585225112594;0.05510273825730105;-0.35792117501225573;-0.7035575297206204;1.4146535096157358;0.6178723412713067;-1.0331615454076404;-1.042749226236314;0;2015;2;28;9;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0
29;31851;-0.3287701835595935;-0.1405745887068351;-0.28777013770805054;-0.3833348020024816;0.8246333874577632;-0.6337634445635647;-0.23049697820077547;-0.10267199027714356;1.8356490749098338;1.412258149722015;0;2016;8;16;33;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0
30;41555;-1.7246672762840078;-0.6717737990628024;-0.28777013770805054;-0.21892072440506316;0.43044853330109023;0.8319123437346038;-0.9112489041938145;-0.6791074555159038;-0.3013221014491061;-0.17018636369690168;0;2012;4;9;15;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0
31;12937;0.4312182335903655;0.08075841560815145;0.3732827114566108;-0.4381394945349545;-0.27908420418092117;-0.8431457000347317;0.8473602379548698;0.3296546086519266;0.29878624259689524;0.1255976575028946;1;2012;5;3;18;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0
32;42710;-1.3524280515574976;-1.4980836818387524;-0.28777013770805054;-0.7121629571973187;0.7983543971806517;0.8319123437346038;0.3367962934600905;0.6178723412713067;-0.12568063489905126;-0.14060796157693214;0;2015;8;17;34;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0
33;17914;-0.01857082962083472;-0.4209297275058178;-0.15982442496650318;-1.4246239601194655;-1.6455916985907209;-1.1223220406629542;0.5069842749583503;0.6659086300412034;0.1524183538051884;-0.022294353097003537;1;2010;5;24;21;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0
34;35862;1.1136568122556345;0.4939133569961264;0.693146993310479;-1.1506004974571014;-1.2251278541569361;-0.07541076330711956;1.4713828367818225;0.7139449188111001;0.6793427534553363;0.8059009062624126;1;2011;2;15;7;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0
35;31966;0.9895770706801309;0.6119576259641193;-0.28777013770805054;2.2472904395562145;1.5867241054939976;2.2277940468757165;-2.1592941018477196;-0.2948171453567303;-1.501538789541092;-0.8652788135164297;0;2016;12;9;49;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0
36;43572;-1.2438582776789318;-1.5128392154597514;-0.28777013770805054;-0.93138172732721;-0.9886169416629325;-1.2619102109770655;1.0742775466192163;0.13750945357233987;0.6647059645761624;0.3178572712827554;0;2009;7;11;28;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0
37;46596;-0.01857082962083472;-0.4799518619898145;-0.13850013950957862;0.21951681585471972;0.9560283388433208;2.01841179140455;-0.11703832386860227;0.7619812075809967;-0.9599776010117869;-1.5012144590959848;1;2009;11;3;45;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0
38;8010;1.7495654878300901;1.187423437183084;-0.28777013770805054;2.0828763619587964;0.1676586305299749;0.4131478327922699;-1.8189181388512001;-1.543760653374044;-0.6233314567908511;-0.2737107711168371;0;2015;3;20;12;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0
39;35946;-0.26673031277184167;-0.745551467167798;-0.28777013770805054;0.32912620091966527;0.5618434846866479;0.06417740700699172;-1.251624867190334;-0.9192888993653872;-0.052496690503197836;0.36222487446271817;0;2011;7;11;28;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0
40;23929;1.0981468445586968;1.3644898406350732;-0.28777013770805054;0.16471212332224683;0.877191368011986;-0.9827338703488429;0.7906309107887832;-0.43892601166642037;-1.0770719120451457;-1.3533224484960868;0;2010;12;15;50;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0
41;38493;1.0205970060740073;-0.3323965257798235;-0.22379728133727683;0.38393089345213816;-0.6995480486147055;0.6923241734204925;0.3935256206261771;1.0501989402003769;-1.0917087009243196;-0.6434407976165825;0;2011;12;27;52;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0
42;15724;-0.40632002204428314;-0.8193291352727934;-0.0958515685957295;-1.2054051899895741;-0.8046640097231518;1.4600591101481046;0.7906309107887832;-0.5830348779761104;-0.8867936566159335;-1.0723276283562837;1;2012;5;25;21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0
43;4054;-0.31326021586265557;0.4644022897541283;-0.28777013770805054;-0.16411603187259027;0.14137964025286345;-1.6108806367623436;0.3367962934600905;-0.006599412737350194;1.4404557751722185;1.1608417317021815;0;2012;4;14;15;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0
44;37809;0.7879474906199382;-0.022530319738842165;-0.28777013770805054;0.9319778187768668;0.509285504132425;0.27355966247815866;0.5637136021244369;0.6178723412713067;-0.8575200788575854;-0.6286515965565893;0;2009;11;15;46;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0
45;31345;0.30713849201486193;0.6562242268271167;-0.28777013770805054;0.43873558598461104;1.0085863193975437;1.1110886843628263;-2.3294820833459795;-1.4957243646041474;0.3280598203552433;0.18475446174285048;0;2015;3;27;13;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0
46;19380;0.539788007468931;-0.5979961309578069;-0.15982442496650318;-0.7669676497297915;-1.9346605916389474;-0.35458710393534215;-0.45741428686512187;0.42572718619171995;2.040564119218203;2.1812966048414584;1;2014;10;21;43;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0
47;41461;0.36917836280261374;0.27258035268113984;-0.28777013770805054;0.32912620091966527;-1.0411749222171556;0.4131478327922699;-0.28722630536686206;-0.3908897228965237;-0.5647843012741718;-0.3772351785367725;0;2012;1;6;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0
48;47836;-1.5385476639207527;-1.0554176732087792;-0.28777013770805054;1.0963918963742851;1.4290501638313287;2.506970387503939;-0.9112489041938145;-1.111434054444974;-1.3698076896285594;-1.235008840016175;0;2014;1;6;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0
49;39838;0.7569275552260618;-0.22910779043282936;-0.2451215667942014;0.21951681585471972;-1.2251278541569361;-0.35458710393534215;0.16660831196183068;0.6659086300412034;0.24023908708021582;0.09601925538290824;0;2015;11;22;47;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0
50;45880;-0.7630492790738558;0.5086688906171257;-0.28777013770805054;-0.5477488795999002;0.666959445795094;-0.7035575297206204;0.45025494779226366;-0.9192888993653872;1.2501775197430063;0.8059009062624126;0;2016;4;15;15;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0
51;39500;1.0826368768617587;0.3168469535441373;-0.20247299588035228;0.05510273825730105;-0.20024723334958663;-1.1223220406629542;0.9040895651209564;1.194307806510067;-1.5747227339369456;-1.589949665455927;0;2014;12;6;49;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0
52;36576;0.3381584274087377;-0.24386332405382868;0.693146993310479;-0.8217723422622644;-1.0411749222171556;0.06417740700699172;0.3935256206261771;0.56983605250141;0.2548758759593899;0.3474356734027418;1;2014;4;15;16;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0
53;19905;0.9585571352862552;0.302091419923138;-0.28777013770805054;-0.5477488795999002;0.8246333874577632;-0.7035575297206204;1.1877362009513894;1.338416672819757;0.6793427534553363;0.5101168850626163;0;2016;4;21;16;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0
54;8373;0.524278039771993;0.744757428553111;-0.28777013770805054;0.32912620091966527;-0.12141026251825185;-0.4941752742494534;-0.6843315955294682;-1.255542920754664;-0.3891428347241169;-0.3772351785367725;0;2016;3;22;12;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0
55;33545;-0.6389695374983522;0.5234244242381245;-0.28777013770805054;0.7127590486469753;1.0085863193975437;-0.7035575297206204;-0.5141436140312085;-1.3516154982944573;-0.6233314567908511;-0.8061220092764737;0;2012;11;17;46;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0
56;44238;-2.3140460487676497;-1.586616883564747;-0.053202997681880373;-0.6025535721323729;-0.5944320875062595;0.5527360031063812;1.4713828367818225;0.37769089742182327;-0.12568063489905126;-0.12581876051693897;1;2011;7;19;29;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0
57;43327;-1.6316074701023802;-0.406174193884819;-0.28777013770805054;-0.3833348020024816;0.5618434846866479;0.5527360031063812;1.1310068737853027;-0.05463570150724688;0.006050465013481571;-0.05187275521698989;0;2017;5;1;18;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0
58;35099;-1.957316791738077;-0.9668844714827844;-0.28777013770805054;-0.9861864198596829;-1.5930337180364977;-0.9827338703488429;1.0175482194531296;-0.24678085658683363;1.484366141809724;1.5009933560819406;0;2017;6;8;23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0
59;33603;0.8654973291046278;1.0251125673520942;-0.28777013770805054;1.206001281439231;1.061144299951767;-0.4941752742494534;-0.7410609226955548;-1.543760653374044;-1.0624351231659717;-0.9392248188163786;0;2013;3;14;11;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0
60;29992;-0.8405991175585455;-0.4799518619898145;-0.28777013770805054;-0.16411603187259027;0.6406804555179826;-0.4941752742494534;-1.1948955400242476;-1.1594703432148705;1.5282765084472294;1.6488853666818386;0;2011;5;15;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0
61;18010;-0.26673031277184167;-0.4651963283688152;-0.28777013770805054;-0.4381394945349545;0.6932384360722055;-0.35458710393534215;0.16660831196183068;0.7139449188111001;0.5622484424219776;0.33264647234274863;0;2010;9;12;36;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0
62;29030;1.516915972376021;0.9956015001100956;0.5652012805689317;0.0002980457248284024;-0.0951312722411404;0.06417740700699172;0.5069842749583503;0.23358203111213324;-1.647906678332799;-1.6195280675759134;1;2017;2;18;7;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0
63;36242;-0.40632002204428314;-0.5537295300948101;-0.28777013770805054;-0.10931133934011737;0.877191368011986;0.203765577321103;-0.6276022683633816;0.13750945357233987;-0.9014304454950908;-0.7321760039765247;0;2012;10;9;41;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0
64;17006;0.5863179105597449;0.12502501647114886;-0.2451215667942014;-0.7121629571973187;-0.12141026251825185;1.180882769519882;0.5069842749583503;0.6178723412713067;-0.12568063489905126;-0.03708355415699671;0;2016;3;22;12;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0
65;11199;0.8034574583168758;0.8480461639001046;-0.28777013770805054;-0.4381394945349545;1.4290501638313287;-1.1223220406629542;-1.1381662128581609;0.5217997637315134;-0.18422779041573065;-0.199764765816888;0;2015;12;14;51;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0
66;2732;-1.0732486330126145;-0.8340846688937927;-0.18114871042342773;0.32912620091966527;1.4553291541084399;0.8319123437346038;-0.17376765103468889;-0.5830348779761104;-0.35986925696578553;-0.17018636369690168;0;2016;10;31;44;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0
67;38445;1.1136568122556345;0.8480461639001046;1.0769841315351212;1.4800247441015952;0.37789055274686734;0.6923241734204925;0.16660831196183068;1.3864529615896537;-0.6379682456700252;-0.8504896124564365;1;2011;11;9;45;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0
68;42725;-2.345065984161525;-1.2472396102817678;-0.28777013770805054;-0.6025535721323729;0.9034703582890979;-0.21499893362123085;1.6415708182800821;0.08947316480244318;-0.24277494593241006;-0.3180783742967998;0;2015;9;1;36;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0
69;34583;0.6793777167413722;2.1170220553060277;-0.28777013770805054;1.2608059739717037;0.509285504132425;0.5527360031063812;-1.4785421758546806;-1.543760653374044;-0.6233314567908511;-0.6730191997365688;0;2015;11;19;47;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0
