city;region;radar;garder;Près de;Nom dataset;;;;;
Camden;New South Wales;;#N/A;;;;;;;
Campbelltown;New South Wales;;#N/A;;;;;;;
Camperdown;Victoria;;#N/A;;;;;;;
Canberra;Australian Capital Territory;sydney;oui;;;;;;;
Cannington;Western Australia;;#N/A;;;;;;;
Cannonvale;Queensland;;#N/A;;;;;;;
Capel;Western Australia;;#N/A;;;;;;;
Carnarvon;Western Australia;perth;#N/A;;;;;;;
Casino;New South Wales;;#N/A;;;;;;;
Castlemaine;Victoria;;#N/A;;;;;;;
Central Coast;New South Wales;;#N/A;;;;;;;
Cessnock;New South Wales;;#N/A;;;;;;;
Charleville;Queensland;;#N/A;;;;;;;
Charters Towers;Queensland;;#N/A;;;;;;;
Chinchilla;Queensland;;#N/A;;;;;;;
Churchill;Victoria;;#N/A;;;;;;;
Clare;South Australia;;#N/A;;;;;;;
Clermont;Queensland;;#N/A;;;;;;;
Clifton Springs;Victoria;;#N/A;;;;;;;
Cloncurry;Queensland;;#N/A;;;;;;;
Cobar;New South Wales;sydney;oui;;;;;;;
Cobram;Victoria;;#N/A;;;;;;;
Cockatoo;Victoria;;#N/A;;;;;;;
CoffsHarbour;New South Wales;brisbane;oui;;;;;;;
Cohuna;Victoria;;#N/A;;;;;;;
Colac;Victoria;;#N/A;;;;;;;
Collie;Western Australia;;#N/A;;;;;;;
Condobolin;New South Wales;;#N/A;;;;;;;
Cooktown;Queensland;;#N/A;;;;;;;
Cooloola Cove;Queensland;;#N/A;;;;;;;
Cooma;New South Wales;;#N/A;;;;;;;
Coonabarabran;New South Wales;;#N/A;;;;;;;
Coonamble;New South Wales;;#N/A;;;;;;;
Cooranbong;New South Wales;;#N/A;;;;;;;
Cooroy;Queensland;;#N/A;;;;;;;
Cootamundra;New South Wales;;#N/A;;;;;;;
Corinda;Queensland;;#N/A;;;;;;;
Corowa;New South Wales;;#N/A;;;;;;;
Cowes;Victoria;;#N/A;;;;;;;
Cowra;New South Wales;;#N/A;;;;;;;
Cranbourne;Victoria;;#N/A;;;;;;;
Creswick;Victoria;;#N/A;;;;;;;
Crib Point;Victoria;;#N/A;;;;;;;
Crookwell;New South Wales;;#N/A;;;;;;;
Culburra;New South Wales;;#N/A;;;;;;;
Currie;Tasmania;;#N/A;;;;;;;
Currumbin;Queensland;;#N/A;;;;;;;
Dalby;Queensland;;#N/A;;;;;;;
Dandenong;Victoria;;#N/A;;;;;;;
Darley;Victoria;;#N/A;;;;;;;
Dartmoor;Victoria;melbourne;oui;;;;;;;
Dartmoor;Western Australia;perth;oui;;;;;;;
Darwin;Northern Territory;darwin;oui;;;;;;;
Daylesford;Victoria;;#N/A;;;;;;;
Deloraine;Tasmania;;#N/A;;;;;;;
Deniliquin;New South Wales;;#N/A;;;;;;;
Denmark;Western Australia;;#N/A;;;;;;;
Derby;Western Australia;;#N/A;;;;;;;
Devonport;Tasmania;;#N/A;;;;;;;
Dodges Ferry;Tasmania;;#N/A;;;;;;;
Donnybrook;Western Australia;;#N/A;;;;;;;
Dromana;Victoria;;#N/A;;;;;;;
Drouin;Victoria;;#N/A;;;;;;;
Drysdale;Victoria;;#N/A;;;;;;;
Dubbo;New South Wales;;#N/A;;;;;;;
Dunsborough;Western Australia;;#N/A;;;;;;;
Dysart;Queensland;;#N/A;;;;;;;
East Ballina;New South Wales;;#N/A;;;;;;;
East Hills;New South Wales;;#N/A;;;;;;;
Echuca;Victoria;;#N/A;;;;;;;
Eden;New South Wales;;#N/A;;;;;;;
Emerald;Queensland;;#N/A;;;;;;;
Emerald;Victoria;;#N/A;;;;;;;
Emu Plains;New South Wales;;#N/A;;;;;;;
Encounter Bay;South Australia;;#N/A;;;;;;;
Esperance;Western Australia;perth;#N/A;;;;;;;
Euroa;Victoria;;#N/A;;;;;;;
Evans Head;New South Wales;;#N/A;;;;;;;
Exmouth;Western Australia;;#N/A;;;;;;;
Faulconbridge;New South Wales;;#N/A;;;;;;;
Fernvale;Queensland;;#N/A;;;;;;;
Finley;New South Wales;;#N/A;;;;;;;
Forbes;New South Wales;;#N/A;;;;;;;
Forster;New South Wales;;#N/A;;;;;;;
Frankston;Victoria;;#N/A;;;;;;;
Fremantle;Western Australia;;#N/A;;;;;;;
Gatton;Queensland;;#N/A;;;;;;;
Gawler;South Australia;;#N/A;;;;;;;
Geelong;Victoria;;#N/A;;;;;;;
George Town;Tasmania;;#N/A;;;;;;;
Geraldton;Western Australia;perth;#N/A;;;;;;;
Gerringong;New South Wales;;#N/A;;;;;;;
Gilgandra;New South Wales;;#N/A;;;;;;;
Gisborne;Victoria;;#N/A;;;;;;;
Gladstone;Queensland;;#N/A;;;;;;;
Glass House Mountains;Queensland;;#N/A;;;;;;;
Glen Innes;New South Wales;;#N/A;;;;;;;
Glenbrook;New South Wales;;#N/A;;;;;;;
Glenella;Queensland;;#N/A;;;;;;;
Gloucester;New South Wales;;#N/A;;;;;;;
GoldCoast;Queensland;brisbane;oui;;;;;;;
Goondiwindi;Queensland;;#N/A;;;;;;;
Goonellabah;New South Wales;;#N/A;;;;;;;
Gordonvale;Queensland;;#N/A;;;;;;;
Gosford;New South Wales;;#N/A;;;;;;;
Goulburn;New South Wales;;#N/A;;;;;;;
Gracemere;Queensland;;#N/A;;;;;;;
Grafton;New South Wales;sydney;#N/A;;;;;;;
Grenfell;New South Wales;;#N/A;;;;;;;
Greta;New South Wales;;#N/A;;;;;;;
Griffith;New South Wales;;#N/A;;;;;;;
Gulgong;New South Wales;;#N/A;;;;;;;
Gunnedah;New South Wales;;#N/A;;;;;;;
Gympie;Queensland;;#N/A;;;;;;;
Hahndorf;South Australia;;#N/A;;;;;;;
Hamilton;Victoria;;#N/A;;;;;;;
Harvey;Western Australia;;#N/A;;;;;;;
Hazelbrook;New South Wales;;#N/A;;;;;;;
Healesville;Victoria;;#N/A;;;;;;;
Heathcote;Victoria;;#N/A;;;;;;;
Helensburgh;New South Wales;;#N/A;;;;;;;
Hervey Bay;Queensland;;#N/A;;;;;;;
Highfields;Queensland;;#N/A;;;;;;;
Hill Top;New South Wales;;#N/A;;;;;;;
Hobart;Tasmania;melbourne?;oui;;;;;;;
Home Hill;Queensland;;#N/A;;;;;;;
Horsham;Victoria;;#N/A;;;;;;;
Howard Springs;Northern Territory;;#N/A;;;;;;;
Howlong;New South Wales;;#N/A;;;;;;;
Huonville;Tasmania;;#N/A;;;;;;;
Hurstbridge;Victoria;;#N/A;;;;;;;
Ingham;Queensland;;#N/A;;;;;;;
Innisfail;Queensland;;#N/A;;;;;;;
Inverell;New South Wales;;#N/A;;;;;;;
Inverloch;Victoria;;#N/A;;;;;;;
Ipswich;Queensland;;#N/A;;;;;;;
Irymple;Victoria;;#N/A;;;;;;;
Jimboomba;Queensland;;#N/A;;;;;;;
Jindabyne;New South Wales;;#N/A;;;;;;;
Junee;New South Wales;;#N/A;;;;;;;
Junortoun;Victoria;;#N/A;;;;;;;
Kadina;South Australia;;#N/A;;;;;;;
Kalgoorlie;Western Australia;perth;#N/A;;;;;;;
Kambalda;Western Australia;;#N/A;;;;;;;
Kangaroo Flat;Victoria;;#N/A;;;;;;;
Kapunda;South Australia;;#N/A;;;;;;;
Karana Downs;Queensland;;#N/A;;;;;;;
Karratha;Western Australia;;#N/A;;;;;;;
Katanning;Western Australia;;#N/A;;;;;;;
Katherine;Northern Territory;darwin;oui;;;;;;;
Katoomba;New South Wales;;#N/A;;;;;;;
Kelso;New South Wales;;#N/A;;;;;;;
Kempsey;New South Wales;;#N/A;;;;;;;
Kerang;Victoria;;#N/A;;;;;;;
Kiama;New South Wales;;#N/A;;;;;;;
Kiama Downs;New South Wales;;#N/A;;;;;;;
Kilmore;Victoria;;#N/A;;;;;;;
Kingaroy;Queensland;;#N/A;;;;;;;
Kingscliff;New South Wales;;#N/A;;;;;;;
Kingston;Tasmania;;#N/A;;;;;;;
Koo-Wee-Rup;Victoria;;#N/A;;;;;;;
Korora;New South Wales;;#N/A;;;;;;;
Korumburra;Victoria;;#N/A;;;;;;;
Kununurra;Western Australia;;#N/A;;;;;;;
Kuranda;Queensland;;#N/A;;;;;;;
Kurri Kurri;New South Wales;;#N/A;;;;;;;
Kwinana;Western Australia;;#N/A;;;;;;;
Kyabram;Victoria;;#N/A;;;;;;;
Kyneton;Victoria;;#N/A;;;;;;;
Laidley;Queensland;;#N/A;;;;;;;
Lake Cathie;New South Wales;;#N/A;;;;;;;
Lakes Entrance;Victoria;;#N/A;;;;;;;
Lancefield;Victoria;;#N/A;;;;;;;
Landsborough;Queensland;;#N/A;;;;;;;
Lara;Victoria;;#N/A;;;;;;;
Latrobe;Tasmania;;#N/A;;;;;;;
Launceston;Tasmania;melbourne?;oui;;;;;;;
Lawson;New South Wales;;#N/A;;;;;;;
Leeton;New South Wales;;#N/A;;;;;;;
Legana;Tasmania;;#N/A;;;;;;;
Lennox Head;New South Wales;;#N/A;;;;;;;
Leongatha;Victoria;;#N/A;;;;;;;
Leopold;Victoria;;#N/A;;;;;;;
Leschenault;Western Australia;;#N/A;;;;;;;
Lesmurdie;Western Australia;;#N/A;;;;;;;
Leura;New South Wales;;#N/A;;;;;;;
Lewiston;South Australia;;#N/A;;;;;;;
Lismore;New South Wales;;#N/A;;;;;;;
Lithgow;New South Wales;;#N/A;;;;;;;
Little Hampton;South Australia;;#N/A;;;;;;;
Lobethal;South Australia;;#N/A;;;;;;;
Logan Village;Queensland;;#N/A;;;;;;;
Longford;Tasmania;;#N/A;;;;;;;
Longreach;Queensland;;#N/A;;;;;;;
Lowood;Queensland;;#N/A;;;;;;;
Loxton;South Australia;;#N/A;;;;;;;
Lysterfield;Victoria;;#N/A;;;;;;;
Mackay;Queensland;;#N/A;;;;;;;
Macksville;New South Wales;;#N/A;;;;;;;
Maclean;New South Wales;;#N/A;;;;;;;
Maddingley;Victoria;;#N/A;;;;;;;
Maffra;Victoria;;#N/A;;;;;;;
Maitland;New South Wales;;#N/A;;;;;;;
Maleny;Queensland;;#N/A;;;;;;;
Mandurah;Western Australia;;#N/A;;;;;;;
Manilla;New South Wales;;#N/A;;;;;;;
Manjimup;Western Australia;;#N/A;;;;;;;
Mannum;South Australia;;#N/A;;;;;;;
Mansfield;Victoria;;#N/A;;;;;;;
Marcoola;Queensland;;#N/A;;;;;;;
Mareeba;Queensland;;#N/A;;;;;;;
Margaret River;Western Australia;;#N/A;;;;;;;
Margate;Tasmania;;#N/A;;;;;;;
Marian;Queensland;;#N/A;;;;;;;
Maryborough;Queensland;;#N/A;;;;;;;
Maryborough;Victoria;;#N/A;;;;;;;
McCrae;Victoria;;#N/A;;;;;;;
McLaren Vale;South Australia;;#N/A;;;;;;;
McMinns Lagoon;Northern Territory;;#N/A;;;;;;;
Melbourne;Victoria;melbourne;oui;;;;;;;
Melton;Victoria;;#N/A;;;;;;;
Merbein;Victoria;;#N/A;;;;;;;
Merimbula;New South Wales;;#N/A;;;;;;;
Merredin;Western Australia;;#N/A;;;;;;;
Merrimac;New South Wales;;#N/A;;;;;;;
Mildura;Victoria;sydney;oui;;;;;;;
Millicent;South Australia;;#N/A;;;;;;;
Miners Rest;Victoria;;#N/A;;;;;;;
Mittagong;New South Wales;;#N/A;;;;;;;
Moama;New South Wales;;#N/A;;;;;;;
Moe;Victoria;;#N/A;;;;;;;
Molong;New South Wales;;#N/A;;;;;;;
Mooloolah;Queensland;;#N/A;;;;;;;
Moore Park;Queensland;;#N/A;;;;;;;
Mooroopna;Victoria;;#N/A;;;;;;;
Moranbah;Queensland;;#N/A;;;;;;;
Moree;New South Wales;sydney;oui;;;;;;;
Morisset;New South Wales;;#N/A;;;;;;;
Moruya;New South Wales;;#N/A;;;;;;;
Morwell;Victoria;;#N/A;;;;;;;
Moss Vale;New South Wales;;#N/A;;;;;;;
Mount Barker;South Australia;;#N/A;;;;;;;
Mount Cotton;Queensland;;#N/A;;;;;;;
Mount Eliza;Victoria;;#N/A;;;;;;;
Mount Evelyn;Victoria;;#N/A;;;;;;;
Mount Isa;Queensland;;#N/A;;;;;;;
Mount Low;Queensland;;#N/A;;;;;;;
MountGambier;South Australia;adelaide;oui;;;;;;;
MountGinini;New South Wales;canberra;oui;;;;;;;
Mudgee;New South Wales;;#N/A;;;;;;;
Mullumbimby;New South Wales;;#N/A;;;;;;;
Murray Bridge;South Australia;;#N/A;;;;;;;
Murrumbateman;New South Wales;;#N/A;;;;;;;
Murwillumbah;New South Wales;;#N/A;;;;;;;
Muswellbrook;New South Wales;;#N/A;;;;;;;
Myrtleford;Victoria;;#N/A;;;;;;;
Nairne;South Australia;;#N/A;;;;;;;
Nambour;Queensland;;#N/A;;;;;;;
Nambucca Heads;New South Wales;;#N/A;;;;;;;
Nanango;Queensland;;#N/A;;;;;;;
Naracoorte;South Australia;;#N/A;;;;;;;
Narangba;Queensland;;#N/A;;;;;;;
Narooma;New South Wales;;#N/A;;;;;;;
Narrabri;New South Wales;;#N/A;;;;;;;
Narrandera;New South Wales;;#N/A;;;;;;;
Narre Warren North;Victoria;;#N/A;;;;;;;
Narrogin;Western Australia;;#N/A;;;;;;;
Narromine;New South Wales;;#N/A;;;;;;;
Nelson Bay;New South Wales;;#N/A;;;;;;;
Nerang;Queensland;;#N/A;;;;;;;
New Norfolk;Tasmania;;#N/A;;;;;;;
Newcastle;New South Wales;sydney;oui;;;;;;;
Newman;Western Australia;;#N/A;;;;;;;
Nhil;Victoria;melbourne;oui;;;;;;;
Nhulunbuy;Northern Territory;;#N/A;;;;;;;
Ningi;Queensland;;#N/A;;;;;;;
NorahHead;New South Wales;sydney;oui;;;;;;;
Norfolk Island;New South Wales;sydney;oui;;NorfolkIsl;;;;;
North Beach;Western Australia;;#N/A;;;;;;;
North Mackay;Queensland;;#N/A;;;;;;;
North Tamborine;Queensland;;#N/A;;;;;;;
North Wonthaggi;Victoria;;#N/A;;;;;;;
Northam;Western Australia;;#N/A;;;;;;;
Nowra;New South Wales;;#N/A;;;;;;;
Numurkah;Victoria;;#N/A;;;;;;;
Nuriootpa;South Australia;adelaide;oui;;;;;;;
Oakey;Queensland;;#N/A;;;;;;;
Oberon;New South Wales;;#N/A;;;;;;;
Ocean Shores;New South Wales;;#N/A;;;;;;;
Old Bar;New South Wales;;#N/A;;;;;;;
Orange;New South Wales;;#N/A;;;;;;;
Pakenham;Victoria;;#N/A;;;;;;;
Palm Island;Queensland;;#N/A;;;;;;;
Palmwoods;Queensland;;#N/A;;;;;;;
Parkes;New South Wales;;#N/A;;;;;;;
Paynesville;Victoria;;#N/A;;;;;;;
Pearcedale;Victoria;;#N/A;;;;;;;
PearceRAAF;New South Wales;canberra;oui;;;;;;;
Penguin;Tasmania;;#N/A;;;;;;;
Penrith;New South Wales;sydney;oui;;;;;;;
Peregian Beach;Queensland;;#N/A;;;;;;;
Perth;Western Australia;perth;oui;;;;;;;
Perth;Tasmania;melbourne?;oui;;;;;;;
PerthAirport;Western Australia;perth;oui;;;;;;;
Picton;New South Wales;;#N/A;;;;;;;
Pinjarra;Western Australia;;#N/A;;;;;;;
Pittsworth;Queensland;;#N/A;;;;;;;
Point Lonsdale;Victoria;;#N/A;;;;;;;
Point Vernon;Queensland;;#N/A;;;;;;;
Pomona;Queensland;;#N/A;;;;;;;
Port Augusta;South Australia;;#N/A;;;;;;;
Port Douglas;Queensland;;#N/A;;;;;;;
Port Fairy;Victoria;;#N/A;;;;;;;
Port Hedland;Western Australia;perth;#N/A;;;;;;;
Port Lincoln;South Australia;;#N/A;;;;;;;
Port Macquarie;New South Wales;;#N/A;;;;;;;
Port Pirie;South Australia;;#N/A;;;;;;;
Portarlington;Victoria;;#N/A;;;;;;;
Portland;Victoria;melbourne;oui;;;;;;;
portland;New South Wales;sydney;oui;;;;;;;
Pottsville;New South Wales;;#N/A;;;;;;;
Proserpine;Queensland;;#N/A;;;;;;;
Quakers Hill;New South Wales;;#N/A;;;;;;;
Queanbeyan;New South Wales;;#N/A;;;;;;;
Quirindi;New South Wales;;#N/A;;;;;;;
Rasmussen;Queensland;;#N/A;;;;;;;
Raymond Terrace;New South Wales;;#N/A;;;;;;;
Red Cliffs;Victoria;;#N/A;;;;;;;
Renmark;South Australia;;#N/A;;;;;;;
Richmond;New South Wales;sydney;oui;;;;;;;
Richmond;South Australia;adelaide;oui;;;;;;;
Richmond;Tasmania;melbourne?;oui;;;;;;;
Richmond;Victoria;melbourne;oui;;;;;;;
Riddell;Victoria;;#N/A;;;;;;;
Riverview;Queensland;;#N/A;;;;;;;
Robinvale;Victoria;;#N/A;;;;;;;
Rochedale;Queensland;;#N/A;;;;;;;
Rochester;Victoria;;#N/A;;;;;;;
Rockhampton;Queensland;;#N/A;;;;;;;
Roma;Queensland;;#N/A;;;;;;;
Romsey;Victoria;;#N/A;;;;;;;
Rosewood;Queensland;;#N/A;;;;;;;
Roxby Downs;South Australia;;#N/A;;;;;;;
Rutherford;New South Wales;;#N/A;;;;;;;
Rye;Victoria;;#N/A;;;;;;;
Saint George;Queensland;;#N/A;;;;;;;
Saint Georges Basin;New South Wales;;#N/A;;;;;;;
Saint Leonards;Victoria;;#N/A;;;;;;;
Salamander Bay;New South Wales;;#N/A;;;;;;;
Sale;Victoria;sydney;oui;;;;;;;
SalmonGums;Western Australia;perth?;oui;;;;;;;
Samford;Queensland;;#N/A;;;;;;;
Sanctuary Point;New South Wales;;#N/A;;;;;;;
Sandstone Point;Queensland;;#N/A;;;;;;;
Sarina;Queensland;;#N/A;;;;;;;
Sawtell;New South Wales;;#N/A;;;;;;;
Scarness;Queensland;;#N/A;;;;;;;
Scone;New South Wales;;#N/A;;;;;;;
Seymour;Victoria;;#N/A;;;;;;;
Shepparton;Victoria;;#N/A;;;;;;;
Shoalhaven Heads;New South Wales;;#N/A;;;;;;;
Silverdale;New South Wales;;#N/A;;;;;;;
Singleton;New South Wales;;#N/A;;;;;;;
Smithfield Heights;Queensland;;#N/A;;;;;;;
Smithton;Tasmania;;#N/A;;;;;;;
Somerset;Tasmania;;#N/A;;;;;;;
Somerville;Victoria;;#N/A;;;;;;;
Sorell;Tasmania;;#N/A;;;;;;;
South Grafton;New South Wales;;#N/A;;;;;;;
South West Rocks;New South Wales;;#N/A;;;;;;;
Southport;Queensland;;#N/A;;;;;;;
Springwood;New South Wales;;#N/A;;;;;;;
Stanthorpe;Queensland;;#N/A;;;;;;;
Stawell;Victoria;;#N/A;;;;;;;
Stirling;South Australia;;#N/A;;;;;;;
Stirling North;South Australia;;#N/A;;;;;;;
Stratford;Victoria;;#N/A;;;;;;;
Strathalbyn;South Australia;;#N/A;;;;;;;
Suffolk Park;New South Wales;;#N/A;;;;;;;
Sunbury;Victoria;;#N/A;;;;;;;
Sussex Inlet;New South Wales;;#N/A;;;;;;;
Swan Hill;Victoria;;#N/A;;;;;;;
Sydney;New South Wales;melbourne;oui;;;;;;;
SydneyAirport;Victoria;sydney;oui;;;;;;;
Tahmoor;New South Wales;;#N/A;;;;;;;
Tallebudgera;Queensland;;#N/A;;;;;;;
Tambourine;Queensland;;#N/A;;;;;;;
Tamworth;New South Wales;;#N/A;;;;;;;
Tannum Sands;Queensland;;#N/A;;;;;;;
Tanunda;South Australia;;#N/A;;;;;;;
Taree;New South Wales;;#N/A;;;;;;;
Tatura;Victoria;;#N/A;;;;;;;
Tea Gardens;New South Wales;;#N/A;;;;;;;
Temora;New South Wales;;#N/A;;;;;;;
Tenterfield;New South Wales;;#N/A;;;;;;;
Terranora;New South Wales;;#N/A;;;;;;;
The Entrance;New South Wales;;#N/A;;;;;;;
The Oaks;New South Wales;;#N/A;;;;;;;
Thirlmere;New South Wales;;#N/A;;;;;;;
Thursday Island;Queensland;;#N/A;;;;;;;
Tolga;Queensland;;#N/A;;;;;;;
Tom Price;Western Australia;;#N/A;;;;;;;
Toowoomba;Queensland;;#N/A;;;;;;;
Torquay;Victoria;;#N/A;;;;;;;
Townsville;Queensland;Brisbane ?;oui;;;;;;;
Trafalgar;Victoria;;#N/A;;;;;;;
Traralgon;Victoria;;#N/A;;;;;;;
Tuggeranong;Canberra;canberra;oui;;;;;;;
Tumut;New South Wales;;#N/A;;;;;;;
Tuncurry;New South Wales;;#N/A;;;;;;;
Tura Beach;New South Wales;;#N/A;;;;;;;
Tweed Heads;New South Wales;;#N/A;;;;;;;
Two Rocks;Western Australia;;#N/A;;;;;;;
Tyabb;Victoria;;#N/A;;;;;;;
Ulladulla;New South Wales;;#N/A;;;;;;;
Uluru;Northern Territory;loin??;oui;alice springs;;;;;;
Ulverstone;Tasmania;;#N/A;;;;;;;
Uralla;New South Wales;;#N/A;;;;;;;
Urraween;Queensland;;#N/A;;;;;;;
Urunga;New South Wales;;#N/A;;;;;;;
Vasse;Western Australia;;#N/A;;;;;;;
Victor Harbor;South Australia;;#N/A;;;;;;;
Vincentia;New South Wales;;#N/A;;;;;;;
WaggaWagga;New South Wales;sydney;oui;;;;;;;
Waikerie;South Australia;;#N/A;;;;;;;
Walcha;New South Wales;;#N/A;;;;;;;
Walkerston;Queensland;;#N/A;;;;;;;
Wallan;Victoria;;#N/A;;;;;;;
Wallaroo;South Australia;;#N/A;;;;;;;
Walpole;Perth;perth;oui;;;;;;;
Wangaratta;Victoria;;#N/A;;;;;;;
Waroona;Western Australia;;#N/A;;;;;;;
Warragul;Victoria;;#N/A;;;;;;;
Warrnambool;Victoria;;#N/A;;;;;;;
Warwick;Queensland;;#N/A;;;;;;;
Waterford;Queensland;;#N/A;;;;;;;
Watsonia;Melbourne;Melbourne;oui;;;;;;;
Wauchope;New South Wales;;#N/A;;;;;;;
Weipa;Queensland;;#N/A;;;;;;;
Wellington;New South Wales;;#N/A;;;;;;;
Wentworth Falls;New South Wales;;#N/A;;;;;;;
West Wyalong;New South Wales;;#N/A;;;;;;;
Westbrook;Queensland;;#N/A;;;;;;;
Weston;New South Wales;;#N/A;;;;;;;
Whittlesea;Victoria;;#N/A;;;;;;;
Whyalla;South Australia;;#N/A;;;;;;;
Wilberforce;New South Wales;;#N/A;;;;;;;
Williamstown;South Australia;adelaide;#N/A;;Williamtown;;;;;
Williamstown;Western Australia;perth;oui;;;;;;;
Williamstown;Victoria;melbourne;oui;;;;;;;
Wilton;New South Wales;;#N/A;;;;;;;
Wingham;New South Wales;;#N/A;;;;;;;
Witchcliffe;Western Australia;perth;oui;;;;;;;
Wodonga;Victoria;;#N/A;;;;;;;
Wollert;Victoria;;#N/A;;;;;;;
Wollongbar;New South Wales;;#N/A;;;;;;;
Wollongong;New South Wales;sydney;oui;;;;;;;
Wonga Park;Victoria;;#N/A;;;;;;;
Wonthaggi;Victoria;;#N/A;;;;;;;
Woodend;Victoria;;#N/A;;;;;;;
Woodford;Queensland;;#N/A;;;;;;;
Woodside;South Australia;;#N/A;;;;;;;
Woolgoolga;New South Wales;;#N/A;;;;;;;
Woombye;Queensland;;#N/A;;;;;;;
woomera;South Australia;adelaide;oui;;;;;;;
Woori Yallock;Victoria;;#N/A;;;;;;;
Wooroloo;Western Australia;;#N/A;;;;;;;
Worragee;New South Wales;;#N/A;;;;;;;
Wynyard;Tasmania;;#N/A;;;;;;;
Wyong;New South Wales;;#N/A;;;;;;;
Yamba;New South Wales;;#N/A;;;;;;;
Yanchep;Western Australia;;#N/A;;;;;;;
Yarra Glen;Victoria;;#N/A;;;;;;;
Yarra Junction;Victoria;;#N/A;;;;;;;
Yarrabah Aboriginal Community;Queensland;;#N/A;;;;;;;
